calendar_date,children_id,incoming_sms,outgoing_sms,total_sms,incoming_mms,outgoing_mms,total_mms,total_incoming,total_outgoing,total_messages,total_users,total_conversations
2023-11-24,0012e448-ebb2-4fd8-a533-08a7e4ac0701,86,88,174,1,0,1,87,88,175,1,7
2023-11-24,002de249-51df-44f2-b5a6-ced06504fd4f,2,1,3,2,2,4,4,3,7,1,2
2023-11-24,0039af6b-c4e0-4fca-9d65-08b525315ecd,246,219,465,27,13,40,273,232,505,1,7
2023-11-24,004841a7-0976-4f94-8804-fd2281633687,0,2,2,0,2,2,0,4,4,1,1
2023-11-24,0078cd3f-a0f2-41e6-9a0f-e086c28c455a,19,15,34,1234,147,1381,1253,162,1415,1,10
2023-11-24,00899af9-af08-40e8-8237-d53a83dd8697,17,20,37,0,3,3,17,23,40,1,5
2023-11-24,00ac329a-b672-4a24-8e0f-c5a8367302b5,36,35,71,134,18,152,170,53,223,1,9
2023-11-24,00bc8e26-8b10-4eef-8575-24b08ff982f8,0,2,2,0,0,0,0,2,2,1,2
2023-11-24,00cc4e56-1434-4290-9acd-8af8fa5ae981,23,18,41,13,6,19,36,24,60,1,4
2023-11-24,00dcf40f-a91b-4dba-8244-5743552a6c5c,3,1,4,1,2,3,4,3,7,1,3
2023-11-24,0103385b-3189-4b5f-9e7e-e3f32bc88742,20,29,49,34,24,58,54,53,107,1,9
2023-11-24,01296263-e515-499f-ba14-c2edd0cf8629,9,10,19,1,8,9,10,18,28,1,4
2023-11-24,0150327b-706b-4ab4-b677-8e695599d7cf,25,18,43,9,2,11,34,20,54,1,2
2023-11-24,017699ff-d08c-48e9-bcc8-b44c73fbcd00,5,5,10,3,0,3,8,5,13,1,2
2023-11-24,018fcaa5-5215-406b-91f5-a20ba80975ad,4,0,4,0,0,0,4,0,4,1,2
2023-11-24,01ae9f14-c8a6-4445-a8c3-6c0a333a15fa,3,1,4,0,0,0,3,1,4,1,2
2023-11-24,01bfefbf-dd42-4e4b-8425-d612b0be7db5,1,2,3,1,0,1,2,2,4,1,3
2023-11-24,01da4254-c0b5-407d-ad06-3955302fd605,0,1,1,0,0,0,0,1,1,1,1
2023-11-24,02055391-f6d5-476e-9485-95d607846a65,0,1,1,0,0,0,0,1,1,1,1
2023-11-24,02188c4f-321b-4ca9-a5cf-7691edb80f1d,0,2,2,0,0,0,0,2,2,1,1
2023-11-24,024a5d1b-d177-4401-a7be-b2b6c39a99d4,4,7,11,0,0,0,4,7,11,1,3
2023-11-24,025db01c-8434-4c2f-8259-4c701a4e9301,45,42,87,21,1,22,66,43,109,1,8
2023-11-24,027eb123-3998-4765-abf3-fba37e068eef,0,0,0,1,0,1,1,0,1,1,1
2023-11-24,028d251e-5d88-4ef8-8850-e2a185126299,17,28,45,9,9,18,26,37,63,1,4
2023-11-24,02975f9c-b252-4054-9e02-47b33d796113,4,7,11,0,1,1,4,8,12,1,3
2023-11-24,02bb9638-c376-4f81-a8c2-83d9b5f4db3b,18,9,27,1,0,1,19,9,28,1,1
2023-11-24,02d87d19-d4ab-439e-95f6-9b6b85effdc2,10,9,19,3,0,3,13,9,22,1,5
2023-11-24,02e5a568-7b3a-4e48-96dd-6b44cbe1f786,3,3,6,1,2,3,4,5,9,1,5
2023-11-24,02f8a4b0-54ee-4c01-a6ee-ffb9433558c3,65,52,117,247,71,318,312,123,435,1,8
2023-11-24,030b43fa-cf88-4ee8-b8d4-8c760eea0368,1,2,3,0,0,0,1,2,3,1,2
2023-11-24,034d9278-c1f3-4c3b-9aa5-e27ddeb94464,0,1,1,1,0,1,1,1,2,1,1
2023-11-24,0367fd63-bb32-4729-9442-a597c20a7a85,11,18,29,289,40,329,300,58,358,1,6
2023-11-24,0380db27-ee4b-4df2-bee6-acccdcee220b,2,0,2,0,0,0,2,0,2,1,2
2023-11-24,039e4128-000f-4e18-aaba-cda1dfba5b5b,1,4,5,0,1,1,1,5,6,1,2
2023-11-24,03bc2743-343e-43b5-a3cb-caac681c57d1,0,3,3,0,0,0,0,3,3,1,1
2023-11-24,03e1f646-df1b-4716-a862-9b6b42dc05b1,0,0,0,6,0,6,6,0,6,1,1
2023-11-24,0410988c-3011-49d1-8df6-a7d2cae928fe,33,45,78,0,4,4,33,49,82,1,4
2023-11-24,044b077e-7ed4-4b5f-a33f-d29bdd11d16e,84,74,158,15,2,17,99,76,175,1,7
2023-11-24,04667bbe-7ed0-4568-b782-15ac164f73d7,17,21,38,15,1,16,32,22,54,1,5
2023-11-24,047accba-01d5-4f70-b680-e12f4875e910,10,7,17,2,0,2,12,7,19,1,4
2023-11-24,0488cf7a-09fa-4b68-9583-a810814d9ee6,24,30,54,0,2,2,24,32,56,1,6
2023-11-24,04af69bc-d761-4758-8320-5a49677047d3,178,264,442,4,4,8,182,268,450,1,7
2023-11-24,04ccb3ce-b3e6-47e6-92fd-15efe4608ad2,8,20,28,0,0,0,8,20,28,1,3
2023-11-24,04e646bb-8cc4-4c9d-98c4-ac57dbe5d5b7,22,24,46,0,0,0,22,24,46,1,2
2023-11-24,04fd555f-a2a2-4d09-b504-086de5cf7df7,38,39,77,7,6,13,45,45,90,1,7
2023-11-24,0516a26c-797e-4f51-ac8a-e6f976f54374,1,0,1,0,0,0,1,0,1,1,1
2023-11-24,053a0e69-9cc6-432b-a05a-4ba1b6b13a3f,27,35,62,11,3,14,38,38,76,1,12
2023-11-24,0565d8a9-e3bf-48f8-bda0-3b527106336d,1,0,1,0,0,0,1,0,1,1,1
2023-11-24,058e2eb9-a431-4476-93c2-c5ac1160c2b4,22,33,55,0,1,1,22,34,56,1,6
2023-11-24,05a4c00b-4db1-4633-90d1-5366f9330c89,12,19,31,1,1,2,13,20,33,1,2
2023-11-24,05c97e58-ceba-461f-9c2a-27c1ae7c8c46,2,2,4,1,2,3,3,4,7,1,2
2023-11-24,05d907e6-f7d7-46a7-8804-cec5cbf8bb56,36,27,63,4,3,7,40,30,70,1,6
2023-11-24,05ed2ec5-d50e-476a-a9f1-33a495c1ac68,28,30,58,62,7,69,90,37,127,1,5
2023-11-24,060110bb-8601-43a6-ac4d-5e9521595405,50,41,91,43,18,61,93,59,152,1,5
2023-11-24,0608de5d-3616-4225-b1b8-ea21145a81cf,0,0,0,10,0,10,10,0,10,1,1
2023-11-24,06271f94-77ee-4f6d-8679-a2139c3ddba8,72,81,153,2,3,5,74,84,158,1,7
2023-11-24,06395505-3921-473c-8b99-5b6fa27cfbb3,3,2,5,0,0,0,3,2,5,1,1
2023-11-24,064c4554-9027-41c0-b87c-b025b79d4dc6,26,33,59,5,6,11,31,39,70,1,6
2023-11-24,065a52f3-9fc3-4e82-b3f8-ab5ef9aa8c09,6,5,11,0,0,0,6,5,11,1,2
2023-11-24,0667a67c-9971-434f-8634-ac88213200de,16,19,35,116,12,128,132,31,163,1,6
2023-11-24,0670b5b9-9e26-463b-a7c0-2bfc91b9a75e,3,4,7,0,0,0,3,4,7,1,1
2023-11-24,068d7ad5-c9e8-450f-870a-e55e601e548e,3,4,7,14,2,16,17,6,23,1,3
2023-11-24,069e6d6f-ff85-4345-b809-563fd5de1cb9,2,2,4,0,0,0,2,2,4,1,1
2023-11-24,06d8b63d-7688-4c26-8469-6bcc137bf3b9,0,0,0,1,0,1,1,0,1,1,1
2023-11-24,06e1403c-ccdd-4315-bbff-b89b6cc4deac,6,1,7,0,0,0,6,1,7,1,3
2023-11-24,070816f5-d1aa-4599-bc93-1bd973e6f201,242,210,452,5,8,13,247,218,465,1,10
2023-11-24,07386948-e88f-4785-8a85-2d6ff6321afb,0,0,0,6,0,6,6,0,6,1,1
2023-11-24,07405f4c-9a33-4d4b-a387-8d6368bf40e5,4,3,7,5,0,5,9,3,12,1,3
2023-11-24,076504a9-9dfc-4a42-87e2-aeb455f16da5,23,36,59,0,1,1,23,37,60,1,5
2023-11-24,0778ee30-aeb0-4459-b125-4538faae6776,1,1,2,1,0,1,2,1,3,1,2
2023-11-24,078aa1b0-75f7-486f-b94f-e1f13607a435,4,1,5,4,0,4,8,1,9,1,3
2023-11-24,07c31ab0-4d05-49a7-8040-be5fcaf112c2,1,1,2,0,0,0,1,1,2,1,1
2023-11-24,07cec9b3-c412-41ef-9047-107d8556bf05,49,46,95,17,9,26,66,55,121,1,8
2023-11-24,07e02635-2957-43eb-a5c8-43a89d6a5e49,7,7,14,0,0,0,7,7,14,1,3
2023-11-24,07f9efb2-72c0-48f2-a84b-18e6df6c6bb8,2,2,4,0,0,0,2,2,4,1,2
2023-11-24,08189415-3a4c-44a3-89ef-290622e8cfbe,8,4,12,19,5,24,27,9,36,1,6
2023-11-24,083c262c-5175-4936-84a7-75fca8c8772c,3,9,12,0,0,0,3,9,12,1,2
2023-11-24,08548543-b883-429f-8f6b-f1a88d42415c,0,1,1,0,2,2,0,3,3,1,2
2023-11-24,08740d3e-d5dd-48a6-a140-4bfee518a6f0,3,0,3,0,0,0,3,0,3,1,1
2023-11-24,089b4660-97e0-4467-a4e0-b4b49bef8740,11,11,22,19,1,20,30,12,42,1,8
2023-11-24,08b1dd11-fd11-4298-96de-746f9c4077e9,3,2,5,32,2,34,35,4,39,1,3
2023-11-24,08bc25ec-fdb0-4ed4-b388-fcf3254dd8f0,1,0,1,6,0,6,7,0,7,1,2
2023-11-24,08c9af07-e924-4443-9871-b4414122613a,2,0,2,0,1,1,2,1,3,1,2
2023-11-24,08dd00ad-5745-4903-bfcd-4f94d739de8a,11,8,19,0,1,1,11,9,20,1,4
2023-11-24,08f52d48-6866-4cd6-904e-51e5bc841653,25,51,76,0,0,0,25,51,76,1,6
2023-11-24,08fb56a3-d79d-4d9d-b2c1-e29a3e156f94,3,2,5,0,2,2,3,4,7,1,1
2023-11-24,090dd6d2-5a64-431e-a11a-927f93807298,0,0,0,8,0,8,8,0,8,1,1
2023-11-24,091e13ef-ca7a-42c2-93ef-71c9e966a628,41,25,66,3,0,3,44,25,69,1,2
2023-11-24,09401d91-67ad-4be3-8da4-06dd5c5be378,4,5,9,0,0,0,4,5,9,1,4
2023-11-24,09691481-aaf0-44b3-a948-ae90182fb9c8,1,0,1,0,0,0,1,0,1,1,1
2023-11-24,0986e4ed-4d46-4d24-9939-34967c9ad1dc,119,135,254,7,10,17,126,145,271,1,6
2023-11-24,09abf9ac-ec1c-4181-9e32-e5c89c0cbac8,4,8,12,0,0,0,4,8,12,1,4
2023-11-24,0018410a-0af8-47ce-888a-2cafb20f9c27,1,0,1,0,0,0,1,0,1,1,1
2023-11-24,0030608c-716b-4adf-8984-4429350df18b,1,1,2,0,1,1,1,2,3,1,1
2023-11-24,003abf21-d792-48aa-a5f3-972a95a7b6bb,4,3,7,1,0,1,5,3,8,1,1
2023-11-24,00630de8-7fba-4ebb-9e6c-50c18f4f5c1c,0,2,2,0,0,0,0,2,2,1,1
2023-11-24,0082069c-b7ce-4c63-aa27-b6a840d039c3,1,2,3,5,0,5,6,2,8,1,3
2023-11-24,0091c2ff-6b37-4348-a54a-26665c024d1e,20,15,35,3,3,6,23,18,41,1,8
2023-11-24,00adea74-309b-49ac-b5ba-d5367b3655a9,20,14,34,2,0,2,22,14,36,1,2
2023-11-24,00c0855f-5c31-4aa1-acd7-3252a3ed050f,0,1,1,0,0,0,0,1,1,1,1
2023-11-24,00cc6e74-8b6c-40c7-b163-cc2fec344a42,16,20,36,28,0,28,44,20,64,1,4
2023-11-24,00e3bc3e-3046-4476-b9a2-b0b9b4bdbc2a,0,0,0,6,0,6,6,0,6,1,3
2023-11-24,010a17d6-553b-42ed-84e9-f366b93ac610,29,23,52,15,0,15,44,23,67,1,5
2023-11-24,012ac257-9b4f-4f46-b890-1326a24d362b,2,0,2,1,0,1,3,0,3,1,2
2023-11-24,015dc8b5-10c6-4b96-bdd3-3f803eec7118,1,1,2,12,13,25,13,14,27,1,2
2023-11-24,017baa7f-7919-4b09-bd85-b6f66c589471,251,178,429,32,20,52,283,198,481,1,10
2023-11-24,0192ceff-9f55-4d7f-9515-5057126fd182,109,134,243,8,4,12,117,138,255,1,14
2023-11-24,01bd79a5-ba95-4d84-b7c0-bae89005735e,1,0,1,0,0,0,1,0,1,1,1
2023-11-24,01c76d71-0109-40f1-bcd1-ed12e33b34da,25,37,62,0,0,0,25,37,62,1,1
2023-11-24,01e5721e-034b-4c2f-bf79-9700446e9d35,19,17,36,0,0,0,19,17,36,1,3
2023-11-24,020a920b-3779-410b-89f7-bbd880e05da9,38,9,47,1,1,2,39,10,49,1,2
2023-11-24,0223e262-4bb0-4594-abf1-dc6b27bc79a0,39,33,72,3,1,4,42,34,76,1,15
2023-11-24,024fd4e1-dba5-4de0-8b48-2ed9cd1b24ae,0,0,0,4,0,4,4,0,4,1,1
2023-11-24,026609d3-f0a0-47e3-afb0-417b0d99c554,1,0,1,0,0,0,1,0,1,1,1
2023-11-24,0280f375-854b-4280-95f2-d0c314911f5e,5,11,16,0,0,0,5,11,16,1,7
2023-11-24,0290b7bd-7c12-41c2-b67e-a917f9ff0dbb,0,0,0,0,1,1,0,1,1,1,1
2023-11-24,029c8166-a65d-474b-8311-f5223a55aae0,235,415,650,1,3,4,236,418,654,1,4
2023-11-24,02c8262e-5ee2-4a84-9a6a-dab4330adf6f,103,125,228,35,12,47,138,137,275,1,13
2023-11-24,02dd2b3d-ad30-483b-ad87-5ecb0d105656,8,32,40,0,4,4,8,36,44,1,6
2023-11-24,02eb777c-0914-4a02-a298-3849b9c9179a,8,11,19,0,0,0,8,11,19,1,4
2023-11-24,02fd662d-7110-4dd6-a4ff-e8ca4ae0a201,34,10,44,18,11,29,52,21,73,1,6
2023-11-24,0316b14b-ec58-417d-9d8f-1c7d6da8d313,19,20,39,5,0,5,24,20,44,1,2
2023-11-24,035385f3-2a5b-41fb-9d20-ca58001584a3,51,58,109,16,0,16,67,58,125,1,4
2023-11-24,036f1c1b-b818-419d-890e-49a5c20b6176,6,0,6,2,0,2,8,0,8,1,6
2023-11-24,03895183-3e5c-4042-824d-bf66724cca58,35,29,64,0,0,0,35,29,64,1,3
2023-11-24,03a0a2a6-93f1-4961-8d29-6cc3b9760cf5,59,49,108,0,0,0,59,49,108,1,2
2023-11-24,03bcfd99-2f54-4584-889e-c8ddf5a1b450,17,17,34,10,0,10,27,17,44,1,7
2023-11-24,03e8ae93-0b04-4f37-a5be-82f3ce7e01b1,16,15,31,186,51,237,202,66,268,1,3
2023-11-24,04123409-6cf8-4ad6-82c2-7f9f785ead21,6,5,11,0,0,0,6,5,11,1,1
2023-11-24,044e9a32-4b1e-4161-b098-d8204904743e,13,13,26,4,2,6,17,15,32,1,2
2023-11-24,046ced76-f123-4466-9e3e-157fefc98d17,1,1,2,0,0,0,1,1,2,1,1
2023-11-24,047afc94-fb76-4c4a-83b3-848beeae2594,1,0,1,0,0,0,1,0,1,1,1
2023-11-24,0492f074-f0cb-408a-b722-3dc60b3ec9fe,14,14,28,0,0,0,14,14,28,1,4
2023-11-24,04be11a6-fc41-4d3f-9bd7-5d216d45ddd9,10,11,21,1,0,1,11,11,22,1,4
2023-11-24,04d26ac8-7f66-4d11-b175-45ca52f06d74,12,40,52,2,1,3,14,41,55,1,8
2023-11-24,04e76999-ff6b-4fdb-b2d5-5159fb1af77c,3,6,9,3,0,3,6,6,12,1,3
2023-11-24,0504ab67-95a7-43e7-85c9-06fd256d5c66,7,10,17,25,7,32,32,17,49,1,7
2023-11-24,051dddcc-85aa-41a5-86b7-0a67f38f49a6,25,14,39,0,0,0,25,14,39,1,3
2023-11-24,05439fb8-a9a9-4820-b649-d51504e86be9,1,4,5,4,3,7,5,7,12,1,2
2023-11-24,057e49d2-0662-44b8-96ab-bdbfc93538f7,116,153,269,5,4,9,121,157,278,1,5
2023-11-24,059bd6c2-04cf-48d9-8085-e2621ee2ea08,273,303,576,91,19,110,364,322,686,1,12
2023-11-24,05a8631b-97b3-40cf-ad34-0c127f540496,8,5,13,1,0,1,9,5,14,1,3
2023-11-24,05caad61-7040-4dbd-9d06-51978f5cceb8,11,20,31,1,0,1,12,20,32,1,5
2023-11-24,05db6db2-3886-45a6-bd36-2e64358aab0e,2,3,5,0,1,1,2,4,6,1,4
2023-11-24,05ed40f7-3789-4232-a170-ebe71667f7c4,28,14,42,26,13,39,54,27,81,1,12
2023-11-24,06036ea7-4b5b-4cf2-bcde-b4e37cb0e4bd,106,179,285,3,8,11,109,187,296,1,10
2023-11-24,060da3df-3b0f-45fb-a647-59875a59b567,3,0,3,0,0,0,3,0,3,1,2
2023-11-24,0630d1d6-bf56-4ce5-9512-21f5eb997c3a,8,12,20,1,2,3,9,14,23,1,6
2023-11-24,0640b972-e610-4253-916d-dfdfd6c8ae64,1,0,1,3,2,5,4,2,6,1,2
2023-11-24,064c8dc4-2e95-4b98-9633-18324922e91f,1,0,1,0,0,0,1,0,1,1,1
2023-11-24,065c65df-61f7-452e-aead-7f6a0d8232b6,6,7,13,3,0,3,9,7,16,1,5
2023-11-24,066b7d6a-192e-426c-8f14-7aabf9ff294b,5,4,9,104,79,183,109,83,192,1,5
2023-11-24,0674b4fa-7d83-4b11-acf8-0ada7083a5e5,0,0,0,17,5,22,17,5,22,1,1
2023-11-24,069107ea-cfd5-40e7-ba17-18ac80dca952,17,18,35,0,0,0,17,18,35,1,1
2023-11-24,06ba609c-0a24-45e1-8243-da2168d00d66,1,1,2,0,0,0,1,1,2,1,2
2023-11-24,06d91dd1-f7ca-4424-ab17-4f27bb629996,10,15,25,0,2,2,10,17,27,1,2
2023-11-24,06ebbb38-df9a-415b-b3d2-e9a1226d9d33,0,0,0,1,0,1,1,0,1,1,1
2023-11-24,0718a650-5bce-432c-8a17-60ca09fa45b0,47,67,114,32,24,56,79,91,170,1,9
2023-11-24,073f69ce-f830-4d63-827a-2c04bae2ad32,0,0,0,3,2,5,3,2,5,1,1
2023-11-24,074705ce-67d8-4946-bd87-b1e777c9c55b,5,8,13,1,0,1,6,8,14,1,2
2023-11-24,07664080-8a09-4109-82a4-efe46fe264de,1,0,1,22,23,45,23,23,46,1,1
2023-11-24,077c7de0-b5d8-42c2-807e-19bc2c020844,0,0,0,1,0,1,1,0,1,1,1
2023-11-24,079a0fd8-e8e9-45af-87e7-04ba3863a977,27,23,50,0,0,0,27,23,50,1,6
2023-11-24,07c8e4cc-7337-4316-a1a5-08b641b5b195,1,6,7,101,54,155,102,60,162,1,4
2023-11-24,07d083f0-26ba-4672-9297-bd6bb93dc283,0,1,1,1,0,1,1,1,2,1,1
2023-11-24,07e56c3e-5ed6-4b18-8dab-c20d18b28d72,2,0,2,0,0,0,2,0,2,1,2
2023-11-24,07ff7847-bfbd-4337-a8e4-7514f15f17f1,2,1,3,2,0,2,4,1,5,1,2
2023-11-24,081e4951-d895-4482-9b4d-9dec567927e6,6,10,16,1,0,1,7,10,17,1,5
2023-11-24,08421d92-95c5-4cfe-b790-4c364113fff8,17,16,33,1,7,8,18,23,41,1,9
2023-11-24,086fd0bc-647a-40d2-9205-3507fcbc2461,1,2,3,0,1,1,1,3,4,1,2
2023-11-24,0894a313-74e0-4ba5-b385-e4a24471ef08,0,0,0,0,7,7,0,7,7,1,6
2023-11-24,08a293e5-868d-453f-9a15-8ec6bdef0319,154,150,304,1,3,4,155,153,308,1,9
2023-11-24,08b86f57-05fb-4292-b323-3c7db21e25ae,3,6,9,7,5,12,10,11,21,1,5
2023-11-24,08bcf3f9-496f-43b1-bad5-48a2b63d5a53,50,52,102,146,87,233,196,139,335,1,13
2023-11-24,08cba4f6-2bdf-4b8b-989a-d67f6d0a24aa,6,4,10,13,13,26,19,17,36,1,4
2023-11-24,08e04250-6f63-4c2d-92b3-12289c93ec07,35,27,62,0,0,0,35,27,62,1,5
2023-11-24,08f7422a-4772-4af8-bcf6-651a3bfaafb1,2,1,3,13,2,15,15,3,18,1,6
2023-11-24,08fd84bc-fc7f-403f-b8a8-496dc466f1a5,37,28,65,27,7,34,64,35,99,1,16
2023-11-24,090e244b-64e2-4cfe-b78d-192b89ad4c8a,53,83,136,4,12,16,57,95,152,1,5
2023-11-24,091ee137-2031-44f3-b7d5-04a28a6280db,4,1,5,0,0,0,4,1,5,1,2
2023-11-24,095ea504-d46b-48da-b721-37fcc27b7d01,3,2,5,0,0,0,3,2,5,1,1
2023-11-24,09695ab9-cc0d-4880-a198-441447e4b118,75,186,261,1,18,19,76,204,280,1,13
2023-11-24,098abaea-d721-4d95-b2a9-2a8d56a79bfb,2,5,7,0,1,1,2,6,8,1,2
2023-11-24,09b7a802-18e8-4de3-9faa-5ae5039dd1c4,0,1,1,0,0,0,0,1,1,1,1
2023-11-24,09d997cc-0609-42cf-967e-8fd41819074c,2,4,6,3,4,7,5,8,13,1,2
2023-11-24,09f9495a-9f79-4f79-be34-9c7fdc2b469f,155,163,318,56,35,91,211,198,409,1,13
2023-11-24,0a27e49e-b58d-4d57-a39e-5091a08c57a6,113,82,195,115,0,115,228,82,310,1,7
2023-11-24,0a5149a3-c397-48d7-a853-eb18b732cf69,0,0,0,1,0,1,1,0,1,1,1
2023-11-24,0a791bd4-c4a9-4e2c-8fba-2b3e15b5831d,1,2,3,2,1,3,3,3,6,1,2
2023-11-24,0a94aa4a-6752-4579-a8ff-f3c9da0968ef,22,12,34,5,0,5,27,12,39,1,11
2023-11-24,0aafdb6d-0d17-414f-81d4-90a172df775d,2,3,5,20,4,24,22,7,29,1,2
2023-11-24,0abf0cf8-c77a-4e9b-9a12-f236a7ac76dd,321,333,654,16,20,36,337,353,690,1,7
2023-11-24,0ad16967-fe47-4fdb-8360-7bd4bbbb4139,36,38,74,0,0,0,36,38,74,1,2
2023-11-24,0aee1793-a689-4aad-b201-32b9330320b1,2,0,2,0,1,1,2,1,3,1,3
2023-11-24,0af0e1ac-6b2b-425f-b316-f63cbff9acef,1,0,1,0,0,0,1,0,1,1,1
2023-11-24,0afc9abd-7d30-428b-b53f-28af7cbf5a31,1,0,1,0,0,0,1,0,1,1,1
2023-11-24,0b0f4b4f-cdd7-4bc5-af1e-a667b5fe9a84,37,142,179,17,13,30,54,155,209,1,10
2023-11-24,0b24a907-eeb2-4720-bb77-c7811f5937d8,23,27,50,2,2,4,25,29,54,1,3
2023-11-24,0b4bea2b-ac85-4cc1-b797-561a5b06e2b1,11,15,26,33,8,41,44,23,67,1,10
2023-11-24,0b6190e3-19a3-4c8b-80b5-715f8f300a49,30,27,57,1,1,2,31,28,59,1,3
2023-11-24,0b693371-3415-4a99-a5c0-784805c7d967,39,17,56,3,3,6,42,20,62,1,23
2023-11-24,0b8becbe-9645-4e69-9474-832b7d656d63,7,17,24,6,1,7,13,18,31,1,8
2023-11-24,0b9f8e2a-1475-4282-ba30-7d00ef2279a0,0,0,0,5,0,5,5,0,5,1,2
2023-11-24,0baef403-90ca-4ebc-99ac-a55a163a4795,304,283,587,10,0,10,314,283,597,1,2
2023-11-24,0bc23882-e694-4b01-91d7-30424b75b355,1,0,1,0,0,0,1,0,1,1,1
2023-11-24,0bdcc29c-44a3-4a5f-8306-dd4271287c77,5,6,11,1,0,1,6,6,12,1,1
2023-11-24,0bff9946-8c5c-4318-a1a7-1be1bb174cc3,15,28,43,2,0,2,17,28,45,1,7
2023-11-24,0c09d40d-9ea1-4fa4-83aa-150f65e236b8,9,11,20,0,2,2,9,13,22,1,5
2023-11-24,0c204739-8510-4b6c-b053-acf8704318da,0,0,0,0,1,1,0,1,1,1,1
2023-11-24,0c313a84-b9ee-469d-bbf9-6872d192ed1a,50,41,91,1,7,8,51,48,99,1,6
2023-11-24,0c4a2753-9c44-48e1-b317-55f61cfca16a,1,0,1,0,0,0,1,0,1,1,1
2023-11-24,0c55c325-db30-4815-bae4-724adfd27f5f,79,122,201,6,7,13,85,129,214,1,13
2023-11-24,0c5d9f5c-d3ed-4e64-83b7-2c0982ecf952,142,147,289,2,0,2,144,147,291,1,4
2023-11-24,0c733590-7de3-42a6-9789-52c9cf3ebd46,29,38,67,0,3,3,29,41,70,1,1
2023-11-24,0c9aad68-cac2-40c4-952e-eaffb3fa5832,67,107,174,16,3,19,83,110,193,1,11
2023-11-24,0cba65c2-5dcd-4442-a6dc-fbef1f5d4d3d,46,34,80,0,0,0,46,34,80,1,7
2023-11-24,0cc70978-585c-4b3c-aa3b-39d8e3397245,3,5,8,5,2,7,8,7,15,1,7
2023-11-24,0cff7d0e-1875-4dd8-a8d5-4ef626477c95,3,3,6,0,0,0,3,3,6,1,2
2023-11-24,0d0bde2c-ee8b-4654-93ca-17245d561bc8,5,7,12,0,0,0,5,7,12,1,4
2023-11-24,0d1e8521-eb67-47b5-ac66-d2355a8df765,46,12,58,4,0,4,50,12,62,1,3
2023-11-24,0d378426-c30c-4524-8c24-58c7def3bc9d,107,81,188,19,34,53,126,115,241,1,9
2023-11-24,0d4798c5-7bbc-47df-8171-3e574bdd6c40,4,0,4,66,0,66,70,0,70,1,4
2023-11-24,0d573ec0-66cc-46df-a35b-05082ece662c,1,2,3,0,4,4,1,6,7,1,3
2023-11-24,0d7f73cd-9339-423a-9d40-174ae1894542,1,1,2,0,0,0,1,1,2,1,1
2023-11-24,0d8eb78a-ddb8-4013-9947-14634b23e6c9,1,0,1,0,0,0,1,0,1,1,1
2023-11-24,0db2778c-2dcf-4975-bfb4-121d195e1500,10,16,26,28,20,48,38,36,74,1,10
2023-11-24,0dc803d3-d95e-48e6-b22b-5b0136b7bbd2,94,61,155,4,3,7,98,64,162,1,3
2023-11-24,0ddbcaeb-a7f0-44f7-a120-670dc69164ee,18,19,37,2,0,2,20,19,39,1,5
2023-11-24,0dfc9d92-652e-40e6-afcd-80ee1a68311e,1,2,3,0,0,0,1,2,3,1,1
