form_id,redirect_after_submit_url,google_analytics,facebook_pixel,google_tag_manager,progress_bar,is_public,show_progress_bar,show_typeform_branding,show_time_to_complete,hide_navigation,is_trial,are_uploads_public,meta_title,meta_description,meta_allow_indexing,meta_image_href,_fivetran_deleted,_language,_fivetran_synced
QCwykDBd,,,,,proportion,True,True,True,True,True,False,False,,,False,,False,en,2024-05-11 00:02:12.587000+00:00
h4XR8yCW,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:28.081000+00:00
JX6dEC4T,,,,,percentage,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:43.350000+00:00
GvORz64M,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:22.044000+00:00
Taztlocm,,,,,percentage,True,True,True,False,False,False,False,,,False,,False,en,2024-05-11 00:02:45.748000+00:00
IfPkI9LL,,,,,proportion,False,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:10.604000+00:00
XlCI6VzX,,,,,percentage,True,True,True,False,False,False,False,,,True,,False,en,2024-05-11 00:02:44.717000+00:00
gGIzPCle,,,,,percentage,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:31.084000+00:00
xs0tZs,,,,,percentage,True,True,True,False,False,False,False,,,False,,False,en,2024-05-11 00:02:48.986000+00:00
e7hRQtSH,,,,,proportion,True,True,True,True,True,False,False,,,False,,False,en,2024-05-11 00:02:22.040000+00:00
kmM8Bu0X,,,,,percentage,True,True,True,False,False,False,False,,,False,,False,en,2024-05-11 00:02:46.575000+00:00
yud5HMZ4,,,,,percentage,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:32.997000+00:00
rkm5uITk,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:33.176000+00:00
v5fs4MLL,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:21.658000+00:00
xyuXnYGW,,,,,proportion,True,False,True,True,False,False,False,,Seeking to understand the root of parents' struggles to create a positive digital environment for their kids. ,True,https://images.typeform.com/images/buneUQj4mU32,False,en,2024-05-11 00:02:10.611000+00:00
HEqdm2Kx,,,,,proportion,False,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:19.104000+00:00
LzAPLKMT,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:29.796000+00:00
PNWzUBMi,,,,,proportion,True,True,True,True,True,False,False,,Use this form to delete your PinwheelGPT account.,False,,False,en,2024-05-11 00:02:12.250000+00:00
XsezE0qD,,,,,percentage,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:27.120000+00:00
lFv5cmYE,,,,,proportion,True,True,True,True,True,False,False,,,False,,False,en,2024-05-12 00:02:26.112000+00:00
Nr4sCjxF,,,,,proportion,True,True,True,True,True,False,False,,,False,,False,en,2024-05-12 00:02:26.091000+00:00
vhsTpLjY,,,,,proportion,False,True,True,True,False,False,False,,,False,,False,en,2024-05-12 00:02:26.726000+00:00
hirHnWqp,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:28.177000+00:00
tfFJLomK,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:27.062000+00:00
SlUPej,,,,,percentage,True,True,True,False,False,False,False,,,False,,False,en,2024-05-11 00:02:48.264000+00:00
yZEnW677,,,,,proportion,True,True,True,True,True,False,False,,Use this form to delete your PinwheelGPT account.,False,,False,en,2024-05-11 00:02:10.622000+00:00
WS3wWFs4,,,,,proportion,True,True,True,True,False,False,False,Bug reporting,"Turn data collection into an experience with Typeform. Create beautiful online forms, surveys, quizzes, and so much more. Try it for FREE.",False,,False,en,2024-05-11 00:02:34.274000+00:00
ZOpKMHvg,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:29.795000+00:00
bnMZx3gX,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:29.795000+00:00
fvZ2fdz9,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:43.350000+00:00
TXOxFsVH,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:15.150000+00:00
yJhVac,,,,,percentage,True,True,True,False,False,False,False,,,False,,False,en,2024-05-11 00:02:48.262000+00:00
wDlqAkFc,,,,,percentage,True,True,True,False,False,False,False,,,False,,False,en,2024-05-11 00:02:48.261000+00:00
e4ufGQWR,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:22.985000+00:00
UVdQsqBZ,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:40.700000+00:00
u0TPD34T,,,,,proportion,True,True,True,True,False,False,False,Pinwheel Pre-Meet Survey,"Pinwheel is the best healthy smartphone for kids.
No social media, ads, TV. or mindless games. Mode changes. All settings managed from your phone, not theirs.",False,https://images.typeform.com/images/6mV6FjxEavKz,False,en,2024-05-11 00:02:36.996000+00:00
qVTFVRU8,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:26.394000+00:00
HexkhBho,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:22.194000+00:00
UKxdVnQv,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:26.393000+00:00
WtnwWfU9,,,,,proportion,True,True,True,True,True,False,False,,,False,,False,en,2024-05-11 00:02:32.995000+00:00
FXuUqlhr,,,,,percentage,True,True,True,False,False,False,False,,,False,,False,en,2024-05-11 00:02:46.069000+00:00
ISqXIIGr,,,,,proportion,False,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:26.393000+00:00
D2ZGBXmn,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:14.283000+00:00
udYoS9Jd,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:30.994000+00:00
eP2SuErS,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:36.986000+00:00
itxnQ5Vk,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:27.055000+00:00
zGAJwdex,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:43.350000+00:00
gmvhyLfk,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:30.995000+00:00
zJQAWgxz,,,,,proportion,False,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:12.991000+00:00
j7mMhWyf,,,,,proportion,False,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:15.032000+00:00
mP8GzNoV,,,,,proportion,True,True,True,True,True,False,False,,,False,,False,en,2024-05-11 00:02:27.985000+00:00
dESsecix,,,,,proportion,True,True,True,False,False,False,False,,,False,,True,en,2023-05-22 08:30:30.660000+00:00
drihwVrJ,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:14.285000+00:00
sxgX6rXP,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:15.024000+00:00
hKH1n4Rf,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:37.082000+00:00
fgdJcRKf,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:15.134000+00:00
PKWjsMGg,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:18.350000+00:00
Wb4oEZ2o,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:30.156000+00:00
bD20ejMZ,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:36.042000+00:00
o12nvR2G,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:18.341000+00:00
I7o6uxCF,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:39.088000+00:00
d0dI6dM2,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:30.990000+00:00
CBJ5YM86,,,,,proportion,True,True,True,True,True,False,False,,,False,,False,en,2024-05-11 00:02:19.029000+00:00
wzxbYq72,,,,,percentage,True,False,True,True,False,False,False,,,False,https://images.typeform.com/images/Z5MVtW4cEVpX,False,en,2024-05-11 00:02:33.009000+00:00
cREUGF3B,,,,,percentage,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:40.299000+00:00
TlsjoIys,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:14.279000+00:00
iiCu08iz,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:36.042000+00:00
mpHWnxIf,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:26.394000+00:00
IpNHdUDx,,,,,proportion,True,True,True,False,False,False,False,,,False,,False,en,2024-05-11 00:02:12.241000+00:00
q0RjVpr5,,,,,proportion,False,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:15.031000+00:00
XUa9ggXY,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:39.088000+00:00
IRVemSeC,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:39.088000+00:00
dBv1rKPO,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:10.600000+00:00
CboEYzb7,,,,,percentage,True,True,True,True,False,False,False,"Parent, Kids & Phones",Product Offsite Perspective Check. How do we see the world of kids + tech?,False,,False,en,2024-05-11 00:02:29.796000+00:00
dXOhQhOt,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:33.985000+00:00
xYcRb6rP,,,,,proportion,True,True,True,True,True,False,False,,,False,,False,en,2024-05-11 00:02:36.169000+00:00
vgBnsZ5t,,,,,percentage,True,True,True,True,True,False,False,,,False,,False,en,2024-05-11 00:02:40.904000+00:00
bVLUqNNk,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:15.995000+00:00
Wez0q1nI,,,,,percentage,False,True,True,False,False,False,False,,,True,,False,en,2024-05-11 00:02:48.262000+00:00
MKXagAlh,,,,,proportion,True,True,True,True,False,False,False,Pinwheel Integrating Well-Being Strategies 5Q Survey,"Thank you for expressing interest in furthering Pinwheels' mission in bringing Kid-Friendly Technology to communities nationwide. 
Please continue to advocate for Tech not Toys! ",False,https://images.typeform.com/images/qVXsJuTjvu9v,False,en,2024-05-11 00:02:36.983000+00:00
Yq2txTe0,,,,,proportion,True,True,True,True,False,False,False,,"Turn data collection into an experience with Typeform. Create beautiful online forms, surveys, quizzes, and so much more. Try it for FREE.",False,,False,en,2024-05-12 00:02:27.414000+00:00
fiht8i17,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-12 00:02:26.505000+00:00
z4O7M4pp,,,,,proportion,True,True,True,False,False,False,False,,,False,,False,en,2024-05-12 00:02:27.357000+00:00
aLoJGhPX,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-12 00:02:26.432000+00:00
kpF10uRx,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:18.995000+00:00
DxKhv6bR,,,,,percentage,True,True,True,False,False,False,False,,,False,,False,en,2024-05-11 00:02:46.515000+00:00
yeS1TlQR,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:36.042000+00:00
qd1BXBHF,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:21.658000+00:00
IVjxs9Xn,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:12.774000+00:00
YzlOKAhR,,,,,proportion,True,True,True,False,False,False,False,,,False,,False,en,2024-05-11 00:02:36.042000+00:00
CQhkbPLU,,,,,proportion,True,True,True,False,False,False,False,,,False,,False,en,2024-05-11 00:02:43.350000+00:00
Xq3iQG7A,,,,,proportion,False,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:21.659000+00:00
Q12HmWXK,,,,,proportion,False,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:34.065000+00:00
lO3sHn,,,,,percentage,True,True,True,False,False,False,False,,,False,,False,en,2024-05-11 00:02:49.106000+00:00
sqRpzIS3,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:14.268000+00:00
prVoxNf9,,,,,proportion,True,True,True,True,False,False,False,,,True,,False,en,2024-05-11 00:02:36.988000+00:00
Jr3UXdoc,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:23.026000+00:00
F8jt6tYB,,,,,percentage,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:45.465000+00:00
YnkJ1YbE,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:18.358000+00:00
I4ZQHmc7,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:18.988000+00:00
dVIV14sF,,,,,proportion,True,True,True,True,True,False,False,,,False,,False,en,2024-05-11 00:02:18.989000+00:00
pmP1rTmc,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:34.175000+00:00
wLX8nqVN,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:18.356000+00:00
PibwM1Mb,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:39.256000+00:00
vDskpIgg,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:40.464000+00:00
k7dJaQ0d,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:30.129000+00:00
qqmMBabq,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:19.998000+00:00
fhmGtCBS,,,,,percentage,False,True,True,False,False,False,False,,,True,,False,en,2024-05-11 00:02:40.201000+00:00
CeKmJj5Q,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:22.987000+00:00
xaHb3xw2,,,,,percentage,True,True,True,True,False,False,False,,,True,,False,en,2024-05-11 00:02:33.307000+00:00
rqXardP6,,,,,percentage,False,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:33+00:00
fVpJAWb6,,,,,proportion,False,True,True,True,False,False,False,,,False,,False,en,2024-05-11 00:02:21.659000+00:00
Wc0VU0TL,,,,,proportion,True,False,True,True,False,False,False,,,True,,False,en,2024-05-11 00:02:12.708000+00:00
Txo4Ri0C,,,,,proportion,True,True,True,False,False,False,False,,,True,,False,en,2024-05-11 00:02:39.088000+00:00
vQg4oCT0,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-12 00:02:26.014000+00:00
LzxHvwVm,,,,,proportion,True,True,True,False,False,False,False,,,False,,False,en,2024-05-12 00:02:26.745000+00:00
sGqsMGlv,,,,,proportion,True,True,True,True,False,False,False,,,False,,False,en,2024-05-12 00:02:26.115000+00:00
